Codigo,Nombre
CS8715,Centro de salud Rascafría
CS7255,Centro de Salud Robledo de Chavela
CS8201,Centro de Salud Buitrago de Lozoya
CS0531,Centro de Salud La Cabrera
CS6851,Centro de salud El Pardo
CS7205,Centro de salud Collado Villalba (Estación)
CS0530,Centro de salud Guadarrama
CS10911,Centro de salud Galapagar
CS7231,Centro de salud Torrelodones
CS7232,Centro de salud Cercedilla
CS7200,Centro de salud Villanueva de la Cañada
CS7432,Centro de Salud Collado Villalba (Pueblo)
CS8609,Centro de salud El Molar
CS7465,Centro de salud Condes de Barcelona
CS0177,Centro de salud Las Rozas - El Abajón
CS8610,Centro de salud Paracuellos del Jarama
CS0507,Centro de Salud Algete
CS9304,Centro de salud Soto del Real
CS0538,Centro de Salud Manzanares el Real
CS5277,Centro de salud Torres de la Alameda
CS9583,Centro de salud Griñón
CS0512,Centro de Salud Colmenar de Oreja
CS8502,Centro de salud Ciempozuelos
CS11910,Centro de salud Campo Real
CS5244,Centro de salud Valleaguado
CS0567,Centro de salud Villarejo de Salvanés
CS0219,Centro de salud Perales de Tajuña
CS8625,Centro de salud Arganda - Felicidad
CS9841,Centro de salud Monterrozas
CS8626,Centro de salud Mejorada del Campo
CS0571,Centro de salud Villa del Prado
CS9337,Centro de salud Humanes
CS9550,Centro de Salud Cadalso de los Vidrios
CS9643,Centro de salud Navas del Rey
CS0545,Centro de salud Navalcarnero
CS0558,Centro de salud Torrelaguna
CS9635,Centro de Salud Parque Coimbra
CS9665,Centro de Salud Parque Loranca
CS0554,Centro de salud San Martín de Valdeiglesias
CS7526,Centro de Salud Meco
CS7367,Centro de Salud San Carlos
CS13295,Consultorio de Oteruelo
CS7373,Consultorio de Navalagamella
CS13393,Consultorio de Horcajuelo de la Sierra
CS12644,Consultorio de Lozoyuela
CS12644,Consultorio de Navas de Buitrago
CS12769,Consultorio de Mingorrubio
CS7253,Consultorio de Alpedrete
CS9065,Consultorio de Becerril de la Sierra
CS9066,Consultorio de Collado Mediano
CS7251,Consultorio de Colmenarejo
CS15740,Consultorio de Fresnedillas de la Oliva
CS7252,Consultorio de Hoyo de Manzanares
CS9317,Consultorio de Los Molinos
CS15145,Consultorio de Navacerrada
CS11482,Consultorio de Navalespino
CS7246,Consultorio de Quijorna
CS7366,Consultorio de Sta. María de la Alameda - Pueblo
CS7374,Consultorio de Valdemaqueda
CS7256,Consultorio de Villafranca del Castillo
CS7249,Consultorio de Villanueva del Pardillo
CS13227,Consultorio de Cervera de Buitrago
CS8716,Consultorio de Moralzarzal
CS15742,Consultorio de Robledondo
CS13711,Consultorio de Cotos de Monterrey
CS13711,Consultorio de Venturada
CS12162,Consultorio de Infante Don Luis de Borbón
CS14619,Consultorio de La Marazuela
CS8906,Consultorio de Ajalvir
CS9208,Consultorio de Alalpardo
CS12605,Consultorio de Alameda del Valle
CS9494,Consultorio de Aoslos
CS12650,Consultorio de Belvis de Jarama
CS15739,Consultorio de Berzosa del Lozoya
CS0510,Consultorio de Bustarviejo
CS12661,Consultorio de Braojos
CS12647,Consultorio de Cabanillas de la sierra
CS12762,Consultorio de Canencia
CS12474,Consultorio de Cerceda
CS13404,Consultorio de Cinco villas
CS9370,Consultorio de Cobeña
CS10477,Consultorio de Anchuelo
CS9861,Consultorio de Corpa
CS9855,Consultorio de Pezuela de las Torres
CS10479,Consultorio de Santorcaz
CS19788,Consultorio de Villalbilla
CS9860,Consultorio de Zulema
CS13045,Consultorio de Batres
CS14967,Consultorio de Casarrubuelos
CS13990,Consultorio de Chinchón
CS8921,Consultorio de Titulcia
CS13050,Consultorio de Serranillos del Valle
CS13085,Consultorio de Torrejón de la Calzada
CS13132,Consultorio de Torrejón de Velasco
CS8447,Consultorio de Valdelaguna
CS0565,Consultorio de Villaconejos
CS13375,Consultorio de Garganta de los Montes
CS13222,Consultorio de Gascones
CS13710,Consultorio de Guadalix de la Sierra
CS13255,Consultorio de Horcajo de la Sierra
CS11505,Consultorio de Ambite
CS7308,Consultorio de Coslada Estación
CS11504,Consultorio de Belmonte de Tajo
CS13043,Consultorio de Brea de Tajo
CS8205,Consultorio de Carabaña
CS11438,Consultorio de Villar del Olmo
CS11506,Consultorio de Villamanrique de Tajo
CS11577,Consultorio de Tielmes
CS13070,Consultorio de Nuevo Baztán
CS9877,Consultorio de Morata de Tajuña
CS10803,Consultorio de Fuentidueña de Tajo
CS11604,Consultorio de La Poveda
CS12770,Consultorio de Loeches
CS11599,Consultorio de Olmeda de las Fuentes
CS11414,Consultorio de Pozuelo del Rey
CS7976,Consultorio de Orusco de Tajuña
CS7254,Consultorio de Las Matas
CS7248,Consultorio de El Escorial
CS9305,Consultorio de Valdaracete
CS13713,Consultorio de Valdilecha
CS8854,Consultorio de Velilla de San Antonio
CS9688,Consultorio de Aldea del Fresno
CS12674,Consultorio de La Acebeda
CS12727,Consultorio de La Serna del Monte
CS13305,Consultorio de Lozoya del valle
CS11132,Consultorio de Campohermoso
CS12733,Consultorio de Madarcos
CS12730,Consultorio de Manjirón
CS9731,Consultorio de Cenicientos
CS12657,Consultorio de Mataelpino
CS9834,Consultorio de Chapinería
CS9754,Consultorio de Colmenar del Arroyo
CS9705,Consultorio de El Álamo
CS12766,Consultorio de Paredes de Buitrago
CS8886,Consultorio de Patones
CS13706,Consultorio de Arroyomolinos
CS13364,Consultorio de Moraleja de Enmedio
CS13714,Consultorio de Pedrezuela
CS13376,Consultorio de Pinilla de Buitrago
CS12726,Consultorio de Piñuecar
CS12764,Consultorio de Pinilla del Valle
CS13757,Consultorio de Parque de Miraflores
CS9748,Consultorio de Pelayos de la Presa
CS9739,Consultorio de Rozas de Puerto Real
CS9687,Consultorio de Villamanta
CS9711,Consultorio de Villamantilla
CS9863,Consultorio de Villanueva de Perales
CS12765,Consultorio de Prádena del Rincón
CS12648,Consultorio de Puebla de la Sierra
CS13296,Consultorio de Redueña
CS9202,Consultorio de Ribatejada
CS13377,Consultorio de Robledillo de la Jara
CS9043,Consultorio de Robregordo
CS14041,Consultorio de San Agustín de Guadalix
CS13394,Consultorio de San Mamés
CS12649,Consultorio de Santo Domingo
CS9204,Consultorio de Talamanca de jarama
CS13853,Consultorio de Torremocha de jarama
CS12471,Consultorio de Valdemanco
CS9014,Consultorio de Valdeolmos
CS9203,Consultorio de Valdepiélagos
CS13708,Consultorio de Valdetorres de Jarama
CS12678,Consultorio de Villavieja del Lozoya
CS12672,Consultorio de Zarzalejo Estación
CS10915,Consultorio de Zarzalejo Pueblo
CS7247,Consultorio de Brunete
CS13587,Consultorio de Serracines
CS12472,Consultorio de El Berrueco
CS9031,Consultorio de Daganzo de arriba
CS11513,Consultorio de Estremera
CS9039,Consultorio de Fuente el Saz de Jarama
CS13983,Consultorio de La Hiruela
CS15380,Consultorio de Miraflores de la Sierra
CS12763,Consultorio de Montejo de la Sierra
CS13283,Consultorio de Navalafuente
CS7527,Consultorio de Los Santos de la Humosa
CS13925,Consultorio de Somosierra
CS9927,Consultorio de Valdeavero
CS7250,Consultorio de Valdemorillo
CS16638,Consultorio de Valverde de Alcalá
CS16578,Consultorio de El Vellón
CS12728,Consultorio de El Espartal
AUXCONS1,Consultorio de El Atazar
