poblacion,CMUN
67,1
4779,2
274,3
3408,8
20991,9
15312,10
684,11
1379,12
35972,15
104,16
1872,17
6277,18
1840,19
802,21
217,20
8424,23
212,24
543,25
11014,26
1967,27
2743,28
939,29
2882,30
3173,31
7792,32
6781,33
460,34
2273,35
4062,36
2097,37
7648,38
164,39
2604,51
5664,52
25866,40
7698,41
7490,46
8649,43
1947,42
9534,44
798,48
6817,50
10611,53
16873,54
1453,55
1791,56
2522,57
7182,59
2270,60
35273,61
420,62
388,63
229,64
10087,66
6814,67
17063,68
74,69
234,70
108,71
8973,72
19902,73
9108,75
621,76
1483,901
72,78
9386,82
15404,83
24274,84
6945,85
9759,86
4786,87
381,88
5453,89
14124,90
8115,91
3282,93
1637,94
2982,95
31974,96
150,97
3244,99
7050,100
402,101
1415,102
27000,104
566,107
6400,108
2982,109
3176,110
977,111
204,112
178,114
1254,116
150,117
99,118
760,902
3863,119
1736,120
304,121
912,122
135,124
4705,125
79,126
578,128
13650,129
38974,130
18489,131
9003,133
20304,132
1517,135
942,136
2772,137
106,138
4625,140
9551,141
85,143
9399,144
4355,145
2742,146
1362,147
4756,150
10222,149
4949,151
25115,152
1144,153
7737,154
633,155
1782,156
1045,157
1066,158
820,159
13651,160
4523,162
623,163
4990,164
3191,165
535,166
13376,167
2200,168
2554,169
7273,171
3499,170
16823,172
800,173
2774,174
1576,175
1671,178
23593,176
17731,177
2258,179
7746,180
28750,181
314,182
1810,183
10322,4
